actor_id,character_name,cast_order,movie_id
163,Betsy,10,8461
163,Birthing Teacher,16,8780
163,Maggie,6,9631
163,Rita Grant,14,9879
163,Mrs. Zuckerman,16,9986
163,Peggy,5,10708
164,Drill Sergeant,9,13
164,Charles Campbell,25,10637
165,Young Elvis Presley,10,13
166,College Football Coach,11,13
167,Barber,12,13
167,Dollmaker,13,628
167,Jerry Johnson's Sidekick (credited on Director's Cut),66,820
168,Principal,13,13
169,Louise,14,13
170,Boy with cross,15,13
171,Jenny's Father,16,13
172,High School Football Coach,17,13
172,Reporter,18,162
172,Coach Herb Tyrell,21,10637
173,Recruiter,18,13
174,Newscaster,19,13
175,Earl,20,13
176,Bubba's Mother,21,13
177,Bubba's Great Grandmother,22,13
178,Jenny's date,23,13
179,Local Anchor #1,24,13
180,President Kennedy (voice),25,13
181,Army Recruiter,26,13
181,Aide,10,9348
182,Barracks Recruit,27,13
183,Club patron,28,13
184,Club patron,29,13
185,Club patron,30,13
185,Stillman's Aid,7,10890
186,Helicopter gunman,31,13
187,Cleveland,32,13
188,Tex,33,13
189,Army Hospital Male Nurse,34,13
189,Wounded soldier,35,13
190,Wounded soldier,36,13
190,Platoon - Vietnam,43,2604
191,Hospital Officer,37,13
192,President Johnson (voice),38,13
192,L.B.J. (voice),27,820
192,Fat Republican - Miami Convention,78,2604
193,Isabel,39,13
194,Abbie Hoffman,40,13
195,Black Panther,41,13
195,Jerome,44,4995
196,Wesley,42,13
196,Fisher,8,686
197,Hollywood Boulevard Girlfriend,43,13
198,Dick Cavett,44,13
198,Dick Cavett,11,703
198,Bernard,9,4011
198,Himself,21,10072
199,Carla,45,13
199,Lenore,46,13
200,President Nixon (voice),47,13
200,Stinkie (voice),5,8839
200,Bugs Bunny / Daffy Duck (voice),26,10715
201,Discharge Officer,48,13
201,Drugged Out Boyfriend,49,13
202,Elderly Southern Woman,50,13
203,Waitress in cafe,51,13
204,Taxi Driver,52,13
205,Aging Hippie,53,13
206,Wild eyed man,54,13
206,Davio,17,686
207,Crony,55,13
208,Football Player (uncredited),56,13
209,Cheerleader (uncredited),57,13
210,Football Coach (uncredited),58,13
211,Barracks Recruit (uncredited),59,13
211,Cashier,34,587
212,National Guardsman (uncredited),60,13
213,Football Fan (uncredited),61,13
214,Football Player (uncredited),63,13
215,Black Panther (uncredited),64,13
216,Nicholas Katzenbach (uncredited),65,13
216,Basketball Player,21,5966
217,Jenny's Babysitter (uncredited),66,13
217,Officer Reese (uncredited),55,165
217,Gail Wallens,33,562
217,Stephanie Woods,6,943
217,Dr. Stephanie Woods,18,944
217,"Allison, Flight Attendant",11,2320
217,Vivian Adams,11,9374
217,Secretary,10,10117
217,Moira,7,10329
217,Diary Reading Patient,26,10330
218,Lester Burnham,0,14
218,Prot,1,167
218,Roger 'Verbal' Kint,5,629
218,John Doe,4,807
218,Kevin Spacey / Famous Dr. Evil ('Austinpussy'),23,818
218,Lex Luthor,1,1452
218,D.A. Rufus Buckley,3,1645
218,Det. Sgt. Jack Vincennes,0,2118
218,Casey Schuler,3,6950
218,Micky Rosa,1,8065
218,James Williams,1,8197
218,Hopper (voice),0,9487
218,John Williamson,5,9504
218,Lt. Chris Sabian,1,9631
218,Larry Hooper,3,10313
218,Eugene Simonet,0,10647
219,Carolyn Burnham,1,14
219,Barbara Land,2,75
219,Sue Barlow,9,2055
219,Deirdre Burroughs,0,7510
219,Sydney Ellen Wade,1,9087
219,Elise Kraft / Sharon Bridger,1,9882
220,Jane Burnham,2,14
220,Sally Ryan,11,9331
220,Sally Ryan,3,9869
220,Dani,4,10439
221,Ricky Fitts,3,14
221,Blackheart / Black King,2,1250
221,Jack Durrance,1,9093
222,Angela Hayes,4,14
222,Heather,10,2105
222,Heather,9,2770
222,Lisa Parker,11,7341
222,Coty Pierce,15,9437
222,Kimmie,18,9923
223,Colonel Frank Fitts,5,14
223,Lt. Col. Kazinski,6,25
223,Jimmy Pope,3,231
223,Alvin Dewey,11,398
223,Frank Booker,5,547
223,Deputy Dwayne Powell Looney,14,1645
223,Col. Harry Burwell,5,2024
223,Lieutenant Gerke,8,2123
223,Alexander Conklin,2,2501
223,Alexander Conklin,45,2502
223,John Laroche,2,2757
223,Grant Sykes,2,4349
223,Tom Smith,2,4464
224,Jim Olmeyer,6,14
225,Buddy Kane,7,14
225,Chuck Cedar,4,2022
225,James 'Jimmy' Ritchie,1,9414
225,Jonathan Reeves,3,10560
226,Jim Berkley,9,14
226,Henry Swinton,2,644
227,Brad Dupree,10,14
227,Street Preacher,50,602
227,H. B. Ailman,7,7345
228,Sale House Man #1,11,14
228,John,15,2105
228,John,15,2770
228,John,11,8273
228,Ittles,9,9310
229,Sale House Man #2,12,14
229,Philip Banks,11,10414
230,Sale House Man #3,13,14
230,2nd Lt. Jake Jensen,12,607
